"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2013-02-08",52.290008,36.484698,47.15299,14.92,24.417585,54.676542
"2013-02-11",52.376106,36.381128,46.75834,14.99,24.288888,54.704215
"2013-02-12",52.567435,36.691838,47.090209,14.68,24.314636,54.528967
"2013-02-13",52.576999,37.784025,47.40414,14.21,24.297475,54.925576
"2013-02-14",52.50047,37.981748,48.103765,14.23,24.443321,55.294515
"2013-02-15",53.198818,38.829136,48.005103,14.34,24.795096,54.842564
"2013-02-19",53.313613,39.026859,48.247285,14.65,25.02674,55.488206
"2013-02-20",52.232608,38.556088,47.744981,14.47,24.6235,54.233818
"2013-02-21",51.821252,37.736949,47.188877,14.08,24.237415,53.551285
"2013-02-22",51.897785,37.576885,47.529718,14.07,24.511967,54.436734
"2013-02-25",51.266402,37.106115,46.318828,13.79,24.022922,52.859527
"2013-02-26",51.562962,37.369745,47.154953,14.04,24.280313,52.831855
"2013-02-27",52.117812,37.802856,48.083983,14.34,24.717873,53.366816
"2013-02-28",52.223043,37.463901,47.957707,14.58,24.717873,53.957115
"2013-03-01",52.930959,37.689869,48.363585,15.23,25.001002,55.008587
"2013-03-04",53.380578,38.01941,48.850653,15.57,25.301292,54.925576
"2013-03-05",54.031094,38.556088,49.653407,15.51,25.901859,55.977047
"2013-03-06",53.916298,38.461932,50.023215,15.84,25.627318,55.654228
"2013-03-07",53.878032,38.245378,51.213817,15.56,25.695953,56.124622
"2013-03-08",54.901638,38.603165,51.827149,15.59,26.227887,57.102308
"2013-03-11",55.159931,38.725566,51.64676,15.96,26.404263,57.046966
"2013-03-12",54.633779,38.339534,50.889105,15.55,26.214982,57.139202
"2013-03-13",54.853806,38.217133,51.078516,15.73,26.206383,57.764558
"2013-03-14",55.246029,38.753811,51.70087,16.030001,26.369845,59.172773
"2013-03-15",55.083402,38.330117,51.09656,17.26,26.120346,58.49646
"2013-03-18",54.365921,38.009993,50.708716,16.809999,25.948274,57.922058
"2013-03-19",53.868467,37.784025,50.041251,17.17,25.492284,56.902954
"2013-03-20",54.471148,38.584333,50.834984,17.709999,25.853639,57.264275
